PING 10.0.30.1 (10.0.30.1) 56(84) bytes of data.
64 bytes from 10.0.30.1: icmp_seq=1 ttl=64 time=21.2 ms
64 bytes from 10.0.30.1: icmp_seq=2 ttl=64 time=7.73 ms
64 bytes from 10.0.30.1: icmp_seq=3 ttl=64 time=7.69 ms
64 bytes from 10.0.30.1: icmp_seq=4 ttl=64 time=7.67 ms
64 bytes from 10.0.30.1: icmp_seq=5 ttl=64 time=7.84 ms
64 bytes from 10.0.30.1: icmp_seq=6 ttl=64 time=7.69 ms
64 bytes from 10.0.30.1: icmp_seq=7 ttl=64 time=7.86 ms
64 bytes from 10.0.30.1: icmp_seq=8 ttl=64 time=7.77 ms
64 bytes from 10.0.30.1: icmp_seq=9 ttl=64 time=7.80 ms
64 bytes from 10.0.30.1: icmp_seq=10 ttl=64 time=8.02 ms
64 bytes from 10.0.30.1: icmp_seq=11 ttl=64 time=7.81 ms
64 bytes from 10.0.30.1: icmp_seq=12 ttl=64 time=7.88 ms
64 bytes from 10.0.30.1: icmp_seq=13 ttl=64 time=7.78 ms
64 bytes from 10.0.30.1: icmp_seq=14 ttl=64 time=7.69 ms
64 bytes from 10.0.30.1: icmp_seq=15 ttl=64 time=7.81 ms
64 bytes from 10.0.30.1: icmp_seq=16 ttl=64 time=8.07 ms
64 bytes from 10.0.30.1: icmp_seq=17 ttl=64 time=7.84 ms
64 bytes from 10.0.30.1: icmp_seq=18 ttl=64 time=7.73 ms
64 bytes from 10.0.30.1: icmp_seq=19 ttl=64 time=7.73 ms
64 bytes from 10.0.30.1: icmp_seq=20 ttl=64 time=8.11 ms
64 bytes from 10.0.30.1: icmp_seq=21 ttl=64 time=7.94 ms
64 bytes from 10.0.30.1: icmp_seq=22 ttl=64 time=7.89 ms
64 bytes from 10.0.30.1: icmp_seq=23 ttl=64 time=7.70 ms
64 bytes from 10.0.30.1: icmp_seq=24 ttl=64 time=7.82 ms
64 bytes from 10.0.30.1: icmp_seq=25 ttl=64 time=7.81 ms
64 bytes from 10.0.30.1: icmp_seq=26 ttl=64 time=7.47 ms
64 bytes from 10.0.30.1: icmp_seq=27 ttl=64 time=7.81 ms
64 bytes from 10.0.30.1: icmp_seq=28 ttl=64 time=7.85 ms
64 bytes from 10.0.30.1: icmp_seq=29 ttl=64 time=7.77 ms
64 bytes from 10.0.30.1: icmp_seq=30 ttl=64 time=7.83 ms
64 bytes from 10.0.30.1: icmp_seq=31 ttl=64 time=7.77 ms
64 bytes from 10.0.30.1: icmp_seq=32 ttl=64 time=7.92 ms
64 bytes from 10.0.30.1: icmp_seq=33 ttl=64 time=7.75 ms
64 bytes from 10.0.30.1: icmp_seq=34 ttl=64 time=7.87 ms
64 bytes from 10.0.30.1: icmp_seq=35 ttl=64 time=7.97 ms
64 bytes from 10.0.30.1: icmp_seq=36 ttl=64 time=8.64 ms
64 bytes from 10.0.30.1: icmp_seq=37 ttl=64 time=7.80 ms
64 bytes from 10.0.30.1: icmp_seq=38 ttl=64 time=7.79 ms
64 bytes from 10.0.30.1: icmp_seq=39 ttl=64 time=6.79 ms
64 bytes from 10.0.30.1: icmp_seq=40 ttl=64 time=7.93 ms
64 bytes from 10.0.30.1: icmp_seq=41 ttl=64 time=7.88 ms
64 bytes from 10.0.30.1: icmp_seq=42 ttl=64 time=6.76 ms
64 bytes from 10.0.30.1: icmp_seq=43 ttl=64 time=7.84 ms
64 bytes from 10.0.30.1: icmp_seq=44 ttl=64 time=7.80 ms
64 bytes from 10.0.30.1: icmp_seq=45 ttl=64 time=7.54 ms
64 bytes from 10.0.30.1: icmp_seq=46 ttl=64 time=7.79 ms
64 bytes from 10.0.30.1: icmp_seq=47 ttl=64 time=7.92 ms
64 bytes from 10.0.30.1: icmp_seq=48 ttl=64 time=7.79 ms
64 bytes from 10.0.30.1: icmp_seq=49 ttl=64 time=7.78 ms
64 bytes from 10.0.30.1: icmp_seq=50 ttl=64 time=7.88 ms

--- 10.0.30.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49072ms
rtt min/avg/max/mdev = 6.763/8.056/21.233/1.900 ms
